No.Station;Superficie Drainee;Longitude Station;Latitude Station;Longitude Centroide BV;Latitude Centroide BV;Classement
023433;380;-70.46;45.95;-70.47;45.82;4
023436;152;-70.52;46.22;-70.42;46.16;4
023437;141;-70.87;45.41;-70.87;45.33;4
023438;40;-70.96;46.38;-71.04;46.36;4
023440;114;-70.67;45.70;-70.65;45.65;4
023445;46;-71.21;46.51;-71.18;46.45;3
023444;24;-70.88;46.40;-70.84;46.41;4
023501;67;-71.59;46.65;-71.54;46.60;4
023702;385;-72.09;46.54;-71.97;46.43;1
023902;304;-72.33;46.38;-72.21;46.29;4
024001;1410;-71.62;46.37;-71.42;46.16;4
024003;914;-71.45;46.31;-71.47;46.10;2
024004;101;-71.78;46.22;-71.71;46.19;4
024007;2330;-72.28;46.19;-71.60;46.19;2
024010;26;-71.46;46.18;-71.41;46.15;2
024012;216;-71.37;46.30;-71.22;46.26;4
024013;227;-71.45;46.05;-71.33;46.08;3
024014;2163;-72.10;46.20;-71.56;46.19;1
024015;48;-71.75;46.18;-71.71;46.16;1
024016;74;-71.38;46.22;-71.34;46.19;3
02E901;69;-69.66;47.70;-69.66;47.65;4
030101;562;-71.97;45.79;-71.76;45.75;1
030103;1550;-72.31;46.06;-71.88;45.99;2
030106;344;-71.98;46.07;-71.74;46.07;3
030107;150;-72.48;46.02;-72.41;45.94;4
030108;65;-72.23;45.96;-72.14;45.93;4
030109;66;-72.00;45.75;-71.94;45.72;4
030110;249;-71.81;46.14;-71.69;46.04;4
030215;514;-71.90;45.28;-71.81;45.08;1
030219;839;-71.39;45.62;-71.22;45.45;4
030232;270;-72.14;45.61;-72.16;45.47;4
030234;646;-71.66;45.47;-71.47;45.35;2
030238;87;-71.53;45.33;-71.44;45.29;4
030239;267;-71.53;45.38;-71.38;45.37;4
030242;193;-71.57;45.34;-71.49;45.28;4
030246;217;-71.77;45.32;-71.64;45.22;4
030253;22;-71.60;45.40;-71.64;45.37;4
030260;214;-72.08;45.11;-72.03;45.02;4
030263;130;-71.97;45.47;-72.04;45.45;4
030273;75;-71.80;45.54;-71.72;45.59;4
030274;100;-71.45;45.73;-71.51;45.77;4
030275;206;-71.02;45.88;-70.94;45.84;4
030282;769;-71.39;45.58;-71.21;45.43;2
030299;262.00;-72.51;45.88;-72.47;45.78;3
030304;1505;-72.91;45.50;-72.55;45.55;3
030305;87;-72.91;45.68;-72.84;45.64;4
030314;214;-72.75;45.21;-72.59;45.17;3
030315;721;-72.65;45.64;-72.45;45.50;4
030316;323;-72.86;45.95;-72.73;45.88;3
030318;271;-72.37;45.51;-72.33;45.45;4
030322;96;-73.03;45.38;-73.07;45.32;4
030327;53;-72.93;46.02;-73.07;45.32;4
030328;149;-72.99;45.77;-73.03;45.71;4
030329;34;-72.62;45.53;-72.60;45.52;4
030333;63;-72.51;45.59;-72.43;45.57;4
030335;59;-72.50;45.38;-72.51;45.35;1
030337;408;-72.92;45.27;-72.68;45.19;3
030343;31;-72.52;45.35;-72.50;45.34;3
030344;159;-72.86;45.79;-72.74;45.75;3
030345;3334;-72.94;45.63;-72.66;45.43;2
030346;585;-72.58;45.63;-72.41;45.49;3
030348;102;-72.64;45.59;-72.61;45.53;3
030353;230.9;-72.59;45.30;-72.475;45.2676;4
0303A0;271;-72.81;45.32;-72.61;45.39;4
030401;22093.28;-73.256;45.40;-73.18;44.366;2
030415;308;-73.19;45.49;-73.12;45.49;3
030420;395;-73.00;45.12;-72.86;45.07;3
030421;367;-73.37;45.39;-73.43;45.20;3
030422;8.7;-73.07;45.11;-73.0406;45.1261;3
030423;94;-73.03;45.20;-72.98;45.22;3
030424;584;-73.05;45.16;-72.90;45.11;1
030425;73;-73.02;45.02;-72.99;44.97;1
030429;35;-73.12;45.52;-73.10;45.50;3
030905;2492;-73.76;45.33;-73.95;45.02;1
030907;642;-73.82;45.16;-73.73;45.07;1
030908;404;-74.23;45.05;-74.23;44.91;4
030915;227;-73.71;45.15;-73.63;45.12;3
030917;134;-74.04;45.08;-73.95;45.02;4
030919;1051;-74.17;45.09;-74.12;44.88;1
030920;47;-73.85;45.08;-73.89;45.06;3
030921;246;-73.76;45.10;-73.77;44.99;1
030923;39;-73.63;45.07;-73.63;45.03;4
030924;33;-73.66;45.11;-73.69;45.10;4
031501;22;-72.52;46.26;-72.49;46.22;4
040110;1163;-74.01;45.80;-74.22;46.01;3
040122;311;-74.25;46.05;-74.31;46.11;3
040123;141;-74.32;45.56;-74.22;45.60;4
040127;167;-74.15;45.91;-74.30;45.90;4
040128;54;-74.18;45.80;-74.20;45.83;4
040129;106;-74.12;46.10;-74.14;46.15;2
040203;2670;-74.74;46.28;-74.74;46.65;4
040204;5479;-74.69;45.74;-74.67;46.40;2
040212;40;-74.50;46.37;-74.42;46.37;3
040238;1160;-74.60;46.11;-74.49;46.33;3
040401;1300;-75.07;45.83;-75.13;46.14;4
040402;1990;-75.04;45.67;-75.07;46.05;4
040406;1331;-75.09;45.79;-75.13;46.13;3
040409;63;-75.02;45.88;-75.00;45.93;4
040624;4560;-75.31;46.78;-74.86;47.25;3
040809;275;-76.06;45.94;-76.25;45.88;4
040841;1646;-76.04;46.59;-76.38;46.69;1
040830;6768;-75.75;47.08;-75.22;47.73;1
